Date,Open,High,Low,Close
04/01/2021 09:15:00,33447.78757,33510.24939,33408.23545,33452.30796
04/01/2021 09:20:00,33437.31995,33499.47605,33396.83765,33443.35465
04/01/2021 09:25:00,33445.31978,33512.87844,33406.29903,33453.81479
04/01/2021 09:30:00,33450.36438,33517.31659,33410.31947,33458.12497
04/01/2021 09:35:00,33440.85004,33502.13284,33400.40632,33446.22271
04/01/2021 09:40:00,33443.18279,33509.06242,33404.38703,33449.76229
04/01/2021 09:45:00,33436.20896,33502.09611,33396.05204,33443.92708
04/01/2021 09:50:00,33422.39862,33484.76948,33380.18058,33429.04937
04/01/2021 09:55:00,33400.62519,33463.72377,33358.06277,33408.17808
04/01/2021 10:00:00,33377.68224,33444.40722,33337.93224,33385.38861
04/01/2021 10:05:00,33368.14469,33429.79919,33328.52363,33370.56852
04/01/2021 10:10:00,33344.86763,33405.076,33305.63854,33349.22283
04/01/2021 10:15:00,33328.10681,33393.16942,33286.70666,33336.98095
04/01/2021 10:20:00,33307.57397,33368.0239,33263.17012,33311.60858
04/01/2021 10:25:00,33273.16689,33332.26668,33231.09187,33276.83272
04/01/2021 10:30:00,33247.23476,33309.04113,33201.92305,33253.16361
04/01/2021 10:35:00,33233.2831,33289.25981,33188.36565,33233.81305
04/01/2021 10:40:00,33219.61558,33275.5564,33174.94596,33221.19849
04/01/2021 10:45:00,33215.24072,33276.60673,33171.59714,33219.61153
04/01/2021 10:50:00,33227.75264,33286.6229,33178.78557,33230.14275
04/01/2021 10:55:00,33222.49075,33279.23083,33181.07738,33227.08906
04/01/2021 11:00:00,33220.86721,33284.95867,33176.0423,33228.11385
04/01/2021 11:05:00,33205.9895,33264.36668,33159.46227,33209.46706
04/01/2021 11:10:00,33189.11761,33248.17443,33143.84505,33191.78041
04/01/2021 11:15:00,33192.41981,33250.08534,33142.40622,33195.02282
04/01/2021 11:20:00,33192.67734,33251.50518,33150.56996,33199.12781
04/01/2021 11:25:00,33205.67073,33272.45229,33159.2496,33211.91297
04/01/2021 11:30:00,33224.86213,33285.05934,33177.40717,33227.307
04/01/2021 11:35:00,33232.34722,33293.99036,33190.32517,33238.18689
04/01/2021 11:40:00,33250.00483,33315.88201,33209.61686,33260.82177
04/01/2021 11:45:00,33269.95761,33337.46177,33229.13567,33280.45318
04/01/2021 11:50:00,33303.29831,33369.61429,33260.75613,33310.57065
04/01/2021 11:55:00,33332.08836,33394.87831,33289.79157,33336.3145
04/01/2021 12:00:00,33343.45534,33405.54496,33300.75623,33350.16817
04/01/2021 12:05:00,33356.26009,33421.90562,33309.98795,33360.86741
04/01/2021 12:10:00,33358.37138,33421.93534,33317.02251,33364.24146
04/01/2021 12:15:00,33355.60766,33420.29717,33315.78422,33362.15215
04/01/2021 12:20:00,33352.56994,33416.20186,33310.00935,33362.27449
04/01/2021 12:25:00,33343.7459,33407.63388,33303.18081,33353.87775
04/01/2021 12:30:00,33342.02747,33399.57433,33298.71588,33348.77968
04/01/2021 12:35:00,33348.21459,33406.03633,33307.37033,33352.68319
04/01/2021 12:40:00,33364.552,33424.5682,33322.70202,33368.34479
04/01/2021 12:45:00,33374.12365,33438.45069,33333.25773,33380.45556
04/01/2021 12:50:00,33369.0718,33433.49137,33324.12237,33374.97378
04/01/2021 12:55:00,33347.46501,33404.46331,33298.61101,33347.9347
04/01/2021 01:00:00,33312.9771,33366.62654,33265.01403,33309.34875
04/01/2021 01:05:00,33281.87766,33343.88558,33240.71732,33285.06898
04/01/2021 01:10:00,33275.21671,33337.37246,33231.14558,33277.85518
04/01/2021 01:15:00,33281.71768,33341.52423,33237.65721,33286.06984
04/01/2021 01:20:00,33285.55579,33350.30719,33240.23758,33289.33302
